Angeleno1955, Sat Feb 06 01:32:26 +0000 2021, -118.754630, 34.147078, ...so is it the Same with Obama? 
lghcox, Sat Feb 06 01:32:27 +0000 2021, -71.122066, 42.181456, @PeterRoff @AOC What you are missing is Biden extended the tRUMP non-eviction mandate, which is so full of holes as… https://t.co/YlAybPkEI7 
SpencerWoods8, Sat Feb 06 01:32:50 +0000 2021, -117.585658, 33.859093, WHO? 
Day_Rich44, Sat Feb 06 01:33:01 +0000 2021, -81.516751, 41.080877, EXACTLY!!!!!💯💯💯💯 
nwlaguy, Sat Feb 06 01:33:16 +0000 2021, -91.401008, 30.937336, Oh boy 
OttoHuang120, Sat Feb 06 01:33:38 +0000 2021, 120.955805, 24.783613, @RepMTG https://t.co/bdb8oqjE3g 
longgonegal, Sat Feb 06 01:33:38 +0000 2021, -96.734900, 33.061243, Its OK NOT TO LIVE BY LAWS U SHOVE UP America's A$$... WHEN YOU'RE JOHN KERRY &amp; RICH &amp; IMPORTANT 
Hoosier97Sarah, Sat Feb 06 01:33:55 +0000 2021, -86.441236, 39.766555, Biden says Trump should not receive intelligence briefings due to his 'erratic behavior' https://t.co/QHxAwY1Rf8 via @nbcnews 
MarkeyB3, Sat Feb 06 01:34:26 +0000 2021, -85.565688, 42.290524, Misses his basement! 
gntlmnking, Sat Feb 06 01:34:38 +0000 2021, -73.849441, 40.850347, U.S. HOUSE APPROVES BUDGET PACKAGE PAVING WAY FOR PASSAGE OF BIDEN'S COVID-19 AID PLAN IN COMING WEEKS 
shift_in2_turbo, Sat Feb 06 01:34:53 +0000 2021, -73.968542, 40.780709, That's not what he promised. 
elldotcom, Sat Feb 06 01:34:59 +0000 2021, -122.362414, 37.948843, @rose_recovery Thank You President Biden 👍 
WinksHD, Sat Feb 06 01:35:08 +0000 2021, -95.750855, 29.572572, It’s the Biden way. 
elldotcom, Sat Feb 06 01:35:45 +0000 2021, -122.362414, 37.948843, @DavidDickelman Thank You President Biden 👍 
cwilli72691, Sat Feb 06 01:35:59 +0000 2021, -118.411907, 34.020789, Or sale something #trumpisatraitor 
artsyboy1985, Sat Feb 06 01:36:07 +0000 2021, -86.611411, 34.706027, I love President Joe Biden and I have no shame in saying that. ❤️ 
shaikh_susan, Sat Feb 06 01:36:51 +0000 2021, -122.435979, 37.770657, Biden was being considerate to the office..he made the right decision in real time...fully functioning presidency .… https://t.co/UmHizySVN5 
sandraj63723363, Sat Feb 06 01:36:51 +0000 2021, -77.604684, 41.117936, @thehill Decency matters to most Americans. I trust that President Biden will do his best to put all Americans firs… https://t.co/55eRyKIN9N 
509ShawnG, Sat Feb 06 01:37:05 +0000 2021, -117.434547, 47.667438, Biden says he doesn't think $15 minimum wage will survive in his Covid-19 relief proposalhttps://t.co/kl0HpcBIsi 
WinSpinCIC, Sat Feb 06 01:37:12 +0000 2021, -77.483288, 38.298065, That’s fabulous news. Thank you @NFL !!!!! Thank you @POTUS 
debra_gm, Sat Feb 06 01:37:20 +0000 2021, -81.367773, 28.501678, Amen Rachel. On our knees more for sure. God is in charge and in control regardless. Alleluia for that! Amen 
JihanSaino, Sat Feb 06 01:37:28 +0000 2021, -88.129425, 43.060621, @kylegriffin1 Watching Fox News while I'm at the gym put there spin of misinformation and lies on Biden's immigration plan. 
eudave_sandra, Sat Feb 06 01:37:38 +0000 2021, -114.099388, 36.808331, Shut the fuck up Nicki you are a Dumbass. 
TheAllMarty, Sat Feb 06 01:37:43 +0000 2021, -122.085776, 37.641271, I’m 54 years old. I’ve been paying attention to presidential politics since 1972. Biden is already my second favorite president. 
Hutton8Eldon, Sat Feb 06 01:38:05 +0000 2021, -98.716992, 35.309047, @ClaudinJell2 @joncoopertweets Biden don't have the brains he's to busy slashing Americans families from there jobs… https://t.co/jEAcG25vZB 
